,precision,recall,f1-score,support
0,0.9135802469135802,0.925,0.9192546583850931,80.0
1,0.5,1.0,0.6666666666666666,1.0
2,0.005509641873278237,1.0,0.010958904109589041,2.0
3,0.8836477987421384,0.8726708074534162,0.878125,322.0
4,1.0,1.0,1.0,152.0
5,1.0,1.0,1.0,7.0
6,1.0,0.896551724137931,0.9454545454545454,29.0
7,0.9375,0.8571428571428571,0.8955223880597015,35.0
8,0.75,0.6,0.6666666666666666,10.0
9,0.9653679653679653,0.9449152542372882,0.9550321199143469,236.0
10,1.0,0.375,0.5454545454545454,8.0
11,1.0,1.0,1.0,54.0
12,0.9636363636363636,0.9814814814814815,0.9724770642201835,54.0
13,0.75,0.6666666666666666,0.7058823529411765,18.0
14,0.6,0.3333333333333333,0.42857142857142855,9.0
15,0.25,0.5,0.3333333333333333,6.0
16,0.8,0.5,0.6153846153846154,8.0
17,0.8888888888888888,0.8333333333333334,0.8602150537634409,48.0
18,0.9485294117647058,0.9626865671641791,0.9555555555555556,268.0
19,0.8,0.8571428571428571,0.8275862068965517,14.0
20,0.95,0.8636363636363636,0.9047619047619048,22.0
21,0.6666666666666666,1.0,0.8,2.0
22,0.3333333333333333,0.5,0.4,2.0
23,0.009523809523809525,0.5,0.018691588785046728,2.0
24,0.6176470588235294,0.7241379310344828,0.6666666666666666,29.0
25,0.6,0.6,0.6,5.0
26,1.0,0.3333333333333333,0.5,3.0
27,0.9137931034482759,0.9464285714285714,0.9298245614035088,112.0
28,0.803030303030303,0.803030303030303,0.803030303030303,66.0
29,0.25,0.5,0.3333333333333333,4.0
30,1.0,0.7058823529411765,0.8275862068965517,17.0
31,0.7,0.7777777777777778,0.7368421052631579,18.0
32,0.7,0.6363636363636364,0.6666666666666666,22.0
33,0.6428571428571429,0.6428571428571429,0.6428571428571429,14.0
34,0.8787878787878788,0.90625,0.8923076923076924,128.0
35,0.9180327868852459,0.7088607594936709,0.8,79.0
36,0.9938271604938271,0.9877300613496932,0.9907692307692307,163.0
37,0.7358490566037735,0.9285714285714286,0.8210526315789474,42.0
38,1.0,0.6,0.75,20.0
39,0.8,0.7272727272727273,0.7619047619047619,11.0
40,0.7941176470588235,0.6136363636363636,0.6923076923076923,44.0
41,0.8333333333333334,0.5555555555555556,0.6666666666666666,18.0
42,0.6904761904761905,0.8529411764705882,0.7631578947368421,34.0
43,0.9238095238095239,0.9065420560747663,0.9150943396226415,214.0
44,0.9285714285714286,0.7222222222222222,0.8125,18.0
45,0.9447852760736196,0.8415300546448088,0.8901734104046243,183.0
46,0.9843423799582464,0.9782157676348547,0.9812695109261186,964.0
47,0.8571428571428571,0.7792207792207793,0.8163265306122449,77.0
48,0.6981132075471698,0.8809523809523809,0.7789473684210526,42.0
49,0.7941176470588235,0.675,0.7297297297297297,40.0
50,1.0,0.9655172413793104,0.9824561403508771,29.0
51,0.1111111111111111,0.5,0.18181818181818182,2.0
52,0.0196078431372549,1.0,0.038461538461538464,1.0
53,1.0,1.0,1.0,2.0
54,0.9514563106796117,0.8521739130434782,0.8990825688073395,115.0
55,0.6142857142857143,0.7818181818181819,0.688,55.0
56,1.0,0.8,0.8888888888888888,10.0
57,0.5,0.6666666666666666,0.5714285714285714,12.0
58,0.782608695652174,0.7012987012987013,0.7397260273972602,77.0
59,0.9180327868852459,0.875,0.896,64.0
60,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
61,0.9653552554315913,0.9797377830750894,0.9724933451641526,1678.0
62,0.9647058823529412,1.0,0.9820359281437125,82.0
63,0.7070707070707071,0.693069306930693,0.7,101.0
64,0.05555555555555555,0.6666666666666666,0.10256410256410256,3.0
65,0.9285714285714286,0.9285714285714286,0.9285714285714286,14.0
66,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
67,0.0625,1.0,0.11764705882352941,3.0
68,0.2,0.5,0.2857142857142857,2.0
69,0.927536231884058,0.735632183908046,0.8205128205128205,87.0
70,0.8888888888888888,1.0,0.9411764705882353,8.0
micro avg,0.8400602409638555,0.9133780907155723,0.8751863183494155,6107.0
macro avg,0.7443582796269061,0.7786388596378531,0.7203453483887072,6107.0
weighted avg,0.9250345538410559,0.9133780907155723,0.916557902103099,6107.0
samples avg,0.8828165416567595,0.9356586256835916,0.8963015307478739,6107.0

Macro-average ROC AUC: 0.89
